answers,question
"["" Yes, I do like books; I think a lot of people don't., But I enjoy reading with friends, not as a spectator sport! "", ' Stephen King.', ' Stephen King.', ' Yes, I do not have a favorite book author but I do enjoy reading with my friends.', ' Stephen King.', ' Stephen King.', ' Stephen King.', ' Stephen King.', "" Yes, I do! I'm a big fan of Dostoevsky!"", ' Stephen King.', ' Stephen King.', ' Stephen King.', ' Stephen King.', ' Stephen King.', ' Stephen King.', ' Stephen King.', ' Stephen King.', ' Stephen King.', "" Yes, I do! I'm a big fan of G.A.W., Count Basie, and Jane Austen."", ' Yes, a lot of them! I read a lot of Stephen King, Ian Rankin, and Susan B. Anthony.']",Do you have a favorite book author?
"[' They all sang about the same time.', ' They all play a part in my life (still in elementary) so I play the drums for them. ', "" They all sing and I'm the only one who doesn't have a favorite band."", ' They all seemed to fit together so I started listening to them.', ' They all live together in a house.', ' They all sing and do pretty awesome stuff.', ' They all have a favorite singer, so I really loved Sarah Silverman.', ' They all sing along.', "" They all play a lot of music and I don't really have a favorite band or singer name it's too hard to remember."", ' They all sang about the same thing.', "" They all play in shows all over the place, I've been doing some in the evenings lately. "", ' They all sing and do a lot of different things.', ' They all wrote a while ago - one of my undergrad students did a song video for them.', ' They all started about 2 years ago and I really enjoy them all.', ' They all sang about the same thing.', '<|startoftext|>Do you have a favorite band or singer? They all play a part in my life, I play the violin, I like to ski, I like running, and I like soccer too. I have a favorite artist too.<|endoftext', ' They all sing and dance like they are my age.', ' They all write songs', ' They all seemed really different during their early years.', ' They all sung at the memorial service for Ritchie, but none of them were as accomplished as drummer Chris Marchones.']",Do you have a favorite band or singer?
"["" I've never seen the movies"", ' I do like movies.', "" Yeah, I've seen a few."", ' Yeah, I watch almost anything from start to finish.', ' I do like movies.', ' I do like movies.', ' nfw.', "" I don't actually remember. Most of the time, I just like watching stuff live."", ' I do like movies.', ' I have not. But I love wet and beach movies.', ' I do not know.', ' I watch a lot of movies', "" hmm.... yes as many as I'd like."", '  Yeah, I like movies.', ' Yeah, I love movies.', "" I don't really remember! Except when it's raining."", ' I do like movies.', "" I haven't seen the movies"", "" hmm...probably not as many as I'd like."", ' I do like movies.']",Do you like <wild> movies?
"[' I watch almost anything but I really enjoy sci-fi fare, which is great because I feel as though I am in a parallel universe where everything is possible.', ""<|startoftext|>how many movies a week do you watch? I probably watch like 10 movies a week, but I don't have a lot of hobbies like books, music, cooking, drinking, and I really don't care for myself.<|endoftext"", ' I watch pretty much all kinds of movies, but I really enjoy fiction and horror.', ' I probably watch quite a bit.', ' I probably watch a lot of movies, but not as many as I would like.', ' I probably watch quite a bit.', ' I basically watch movies at home but on my iPad sometimes I take up mostly new technology like the tv last year.', ' I really enjoy reading and traveling, I really enjoy golfing.', '<|startoftext|>how many movies a week do you watch? I probably watch a movie at least once a month, but not always. Freelance is pretty difficult, can you guess what movies I watch? Mostly horror and comedy.<|endoftext|', ' I probably watch a little more than some of the bigger name movies, but not as many as some of the other people I talk to.', ' I have never watched a movie by any artist, only a few of them have been in theaters.', "" I actually don't watch as many movies as I want."", ' I watch almost anything from documentaries to action movies.', ' I have almost no time for movies, besides watching Netflix.', ' I basically do nothing.', ' I watch about 5:00 p.m. to 6:00 p.m. The movies are generally pretty boring, except for one in particular.', ' I basically watch movies at home but on top of all of that I love cooking, playing video games, playing basketball, listening to music, and brushing my teeth.', ' I basically watch movies except for videos.', "" I actually don't watch a lot of movies, but if I did, I probably would have said 7 or 8 of the movies right now, but not today."", "" I probably watch a little more than some of the other fashions, but not as many as I'd like.""]",how many movies a week do you watch?
"[' Not particularly, not particularly.', "" I watch a lot of movies and I don't mind reading books, but I don't have a computer so I don't have a good enough memory to draw clearly."", ' I enjoy watching movies and I also like playing video games.', ""<|startoftext|>Do you have any favorite movies or tv shows? I'm keeping an eye out for the miracles season (FX is on hold). NCIS: LA is also on hiatus, but I will be on in Winter so I\u200bmash could see some"", "" Not really...I don't really read much, but when it comes to music, I love watching movies."", "" Not particularly, I don't really have a favorite movie or tv show yet, but I will definitely watch a few when I get the chance. "", ' Not really, no one has said anything about me.', ' Not particularly, no movies or tv shows. I like watching movies.', ' Not really, not really sure.', "" I'm not a huge movie fan, but I enjoy a movie about his or her son."", "" I don't have a favorite movie or tv show, but I do like doing theme parks stuff."", "" I don't really have a favorite movie or tv show list, but I do like watching movies"", "" I'm working on them all. NCIS, Modern Family."", "" I don't really have a favorite movie or tv show right now, but I might watch some of the rest during the day."", ' Not really, none of them really appealed to me at the time.', ' Not really, not really sure.', "" Not really, I haven't watched any of them, I really enjoy reading or playing video games, but not much actually."", ' Not really! No genre...fantasy or otherwise.', ' Not particularly, no tv shows. I do like movies.', ' Not particularly, not particularly.']",Do you have any favorite movies or tv shows?
"[' yes, currently Beauty and the Beast, Star Wars: The Last Jedi, Wonder Woman, Captain America: Civil War.', "" yes i saw today's Fantastic Four movie."", "" I haven't been able to find a movie tonight."", "" No, I haven't been a movie tho I've been reading your stuff since about 9/30."", "" No, I haven't been a movie tho I have been working on it."", ' Big Bang Theory.', ' Not recently though.', ' yes i saw the pilot for the PG-13 movie.', ' Not recently, but today was the first day.', "" Haha yes! I have been waiting for waltz since 9/4/00! April Fools' day is here also."", "" No, I haven't been a movie tho I've been reading your blog really good."", "" No, I haven't been a part of a movie night since January."", "" No, I haven't been a part of a movie night yet."", ' Not recently though.', "" No, I haven't been a part of a movie yet."", "" No, I haven't been a partier yet."", "" No, I haven't been a part of a movie yet."", ' Good riddance.', "" No, I haven't been a part of a movie scene this long."", ' Not recently, but today was the last day of the week I get to do anything related to baseball.']",been to any movies recently?
"["" I watch movies but not as much as I'd like."", '<|startoftext|>Do you like to read or watch movies? I have not_</|endoftext|>\n<|startoftext|>Do you be serviced hourly? I work full-time and I love it., I get the bad', ' I love watching movies but I dont have a computer, so I watch movies on netflix.', ' I love watching movies but i cant seem to get enough of them! :)\n\n', ' I have never watched a movie myself, but I have been meaning to watch it so I read a little bit.', ' I watch movies but not right now.', "" I've been obsessed with reading recently."", "" I haven't watched much until about 9:00 am., but I do like to read."", ' I love watching movies, and i love reading.', ' I watch movies but not as much as I use to.', ' I watch movies, but not right away.', ' I love reading and i love watching movies.', ' I watch movies, mostly horror, but I enjoy the freedom to roam as well.', '<|startoftext|>Do you like to read or watch movies? I love reading and I started watching Fic Fic as a side project back in elementary. Now I basically just watch movies on my tablet or my computer while sitting still, even though I do enjoy', ' I watch movies but not right away.', ' I have not - I really enjoy reading books since I was a kid, but not until I was 30 did I start to enjoy watching movies.', ' I have never watched a movie myself, but I have been interested in the history of the American South over the last few decades.', ' I love watching movies because I feel as though I have discovered a new language, which is very exciting for me.', ' I love reading and i love watching movies.', ' I watch movies, mostly TV.']",Do you like to read or watch movies?
"[' I do like to watch movies, but not right now.', ' I love watching movies.', "" I wish I had an Apple watch, but I don't have an Apple watch. The movies are pretty awful."", ' I love watching movies, mainly survival horror, but also some sci-fi as well. ', ' I wish I could say yes, I do not enjoy movies, but I do enjoy reading. Kind of like vocationally, I am.', ' I love binge watching movies. Kind of like sports: you go to the games, not the TV.', "" I love watching movies since I was little, but I haven't been able to get enough of Disney lately."", "" I love binge watching movies, although I have to admit that I don't really like binge watching movies."", ' I guess.', ' I love watching movies but I binge-watch a movie at the library every day.', ' I love watching movies because they are so easy to understand and enjoy.', "" I have been dying to know what's on your mind list for some time. I love sci-fi...which is definitely on my list."", ' I do not currently have a DVD or Blu-ray in my house but am working on it.', ' I love watching movies.', ' I do like to watch movies, but not right now.', "" I love watching movies but I don't have a lot of free time as of late."", ' I do not currently have a release date set for my movie (it is scheduled to be free), but I will be on facebook soon enough.', "" I love watching movies since I was little. But now I'm not used to movies being on record."", ' I enjoy reading and also cooking.', ' I love watching movies, and I started getting into meditation a few years ago.']",do you like to watch movies?
"[' I love the Godfather, La Vie en Rose, and La Vie en RoseB> My personal favorite movies are some time foreign accent books.', ' I love the Godfather, La Vie en Rose, and some other foreign films.', "" I can't pick a favorite, there's so many good ones. RSS feed, lots of funny stuff, I like watching movies."", ' I have been involved in a few the past, but none of them were as successful as his.', ' I love the Godfather, La Vie en Rose, and La Vie du Garde.', ' I love the Godfather, La Vie en Rose, and some other foreign films.', ' I love the Godfather, La Vie en Rose, and some other foreign films.', ' I love all of them. jazz, celtic, existentialist.', '<|startoftext|>What are some of your favorite movies? I have been involved in several different movies over the past few years, some of which have been really funny, some of which I really enjoyed. I love ElloCal and its events.<|end', ' I love all of them, even the classics like 1984 and La Vie en Rose. I love thinking about new experiences, new places, and new people.', ' I love the Godfather, La Vie en Rose, and some other foreign films.', ' I love the Godfather, La Vie en Rose, and some other foreign films.', ' I love all kinds of movies, from thrillers to horror to sci-fi', '<|startoftext|>What are some of your favorite movies? I love all of them. movies like all the dogs, the tv shows, the comics, the games, the card games, the beach, the movies, books, music, mostly fiction.<|', ' I have not stopped looking at the movies since I was a kid and I still love reading.', ' I love the Godfather, La Vie en Rose, and some other foreign films.', ' I love the Godfather, La Vie en Rose, and some other foreign films.', ' I have been shooting for about ten minutes, so it is incredible to be done.', ' I love the Godfather, La Vie en Rose, and some other foreign films.', "" I can't pick a favorite, there's so many good ones!""]",What are some of your favorite movies?
"[' I saw the shark in the past, but it just so happened that I had the chance to chat with Steven Soderberth a few years back.', ' I might go see Taxi Driver, but I have not been selected for a script.', ' I saw The Social Network on LBC and Indiana Jones and the Last Crusade.', ' Not recently, all of the movies today have looked pretty boring.', ' Not recently, all of the movies today have looked pretty boring.', ' Not recently, all of the movies today have looked pretty boring.', ' I saw a little bit of La La Land, a comedy.', ' Not recently, all of the movies this summer have been prequel or follow-up to existing novels or short stories.', "" I saw 'em all last summer, so I'm good!"", ' I saw ""Avatar"" and ""Thor: Ragnarok"" on DVD and it was amazing to see how different these movies were.', ' I saw a little action yesterday, but not much PG-13 comedy.', "" I saw a bit of Cool Runnings yesterday but didn't catch the music."", "" I saw the Indiana Jones biopic last summer, and I haven't been to the green room in person much (though I did go to its theaters last year)."", ' Not recently, all of the movies this summer have all been directed by white males.', ' Not recently, all of the movies this summer have looked pretty boring.', ' Not recently, all of the movies today have looked pretty boring.', ' Not recently.', ' I have not seen any good movies. Stephen King is in it for a few months.', ' Not recently, all of the movies have looked pretty boring.', ' I saw the Martian, and Avatar, but not Legend of the Jedi.']",Have you seen any good movies?
"[' Right now, Frozen and some stuff.', ' Yup, I read a book about dat? No Tom Cruise but him or her are pretty damn good.', ' Yeah, I read a lot of books this summer, but not right away.', ' Not really, I have not had a movie in a while.', '<|startoftext|>See any good movies lately? Yup, I saw ""Wonder Woman"" on blu-ray yesterday and I can\'t help but feel a little guilty buying it since I don\'t own a screen copy.<|endoftext|', "" Not recently, but today hasn't been easy for me."", ' Collider has some good movies and 365 days between them.', ' Singles or all-boys? Singles or all-boys.', ' Baby sliver and robot baby rock.', ' Cool movies are always nice.', "" Singing is okay, I'm terrible at it."", ' Right now, Frozen and a few others.', ' Yup, I saw the Golden Globe weekend, too.', "" Yeah, currently I'm reading A Wrinkle in Time by MFA? Yes, he is currently reading A Wrinkle in Time by MFA. "", "" I'm pretty deep into Phantom, but not a fan of big budget action movies."", ' Yup, I read a little bit this semester, but not much actually.', ' Yup, I saw the Avengers on Blu-ray yesterday.', ' Baby steps. God knows I love Halloween, but not today.', "" Yeah, I've been reading a lot of fiction lately, but not as much as I'd like."", "" Yeah, I've been watching Lord of the Rings lately.""]",See any good movies lately?
"["" I don't have a specific type of movie I'm taking up right now, but I'll see."", ' I have not disappointing movies! Freelance, pics, comments, much stuff.', "" I've been very movie-prone since I was a kid. I love action movies, but they have always been slow to catch up with the times."", "" I'm pretty terrible, all of my favorites are lined up already."", "" I've been watching Korean drama lately, and I love sci-fi movies."", "" I haven't seen all of them, but I have been told that some are funny others isi"", ""<|startoftext|>Favorite types of movies? I have not stopped watching movies since I was a kid and I have been hooked on the spaghetti western '66,' ''Live and Let Die' (2003), ''Homeland'\\,'\\',"", "" I'm not a big sports fan but I enjoy watching movies."", "" I'm watching the Russian spy movie Splinter Cell."", "" I can't pick a specific movie."", "" I've been really into European movies lately."", ' I have not fap but i watch movies.', "" I can't pick a favorite, so I'll leave you with this."", ' I have notable movies to watch like Moonlight and Indiana Jones and the Temple...', "" I don't remember; originally I was into action movies but I've since morphed into my own personal type of nerd."", "" I'm pretty terrible... sci-fi, fantasy, comedy, epic..."", "" I've been watching both Avatar and The Hunger Games."", "" I'm into the action genre."", "" I've been a horror movie fan since I was a kid and a horror writer since I was 15; I've always had a hard time finding time to watch movies"", "" I'm not a huge fan of any kind of movie.""]",Favorite types of movies?
"[' I watch detective dramas a lot. ~Seth Meyers\n', "" I am screening a Netflix special called 'For the Love of God'."", ' I was watching Avengers: Age of Ultron and swiping photos while walking home from work.', ' My current hobby is bike riding.', ' I watch a lot of movies and I love reading.', ' I currently am filming a sci-fi comedy called Citizens United.', ' I love sci-fi movies.', "" I'm not into movies."", "" I'm not a huge movie star, but I enjoy reading and playing video games."", ' I get silly expectations of what I can entertain.', '<|startoftext|>What are your movie/TV interests? I direct Sci-Fi movies since elementary, but I also enjoy comedy, romance, steampunk, cult, action, sci-fi, action movies, epic movies, and iLoveText books.<', "" I've been obsessed with Star Trek since I was a kid, and I haven't stopped reading now that I'm older."", ' I recently got into acting so I plan on continuing that in the near future.', ' I enjoy sci-fi/fantasy.', ' I get really artistic in movies and I recently finished the play A Game of Ice and Fire with my friend and she is improving...which i am super excited about.', ' I love sci-fi/thriller.', ' I watch tv quite a bit and I like movies.', ' I am a Biochemist at a large biotech company (NYSE: TSX). My dream is to do something like Sinking Star.', ' I recently got into acting and am building a home theater business.', ' I watch all kinds of movies, but I mostly stay within the genre.']",What are your movie/TV interests?
"["" I've been binge watching House of Cards so far but haven't been able to finish it in time for Halloween."", ' I have seen a little bit of Pretty Little Liars, ', '<|startoftext|>what is the most recent movie you have seen? I saw the Hunger game originally and it was so funny.|endoftext|>\n<|startoftext|>Do you still write? I am hoping to start my own blog soon', "" Right now I'm putting myself through a procedural music video so that'll be in about six months."", "" I've been watching all of them lately, and I will probably watch even more as time goes on."", "" I've been going back to russia since i was a kid and i love it."", "" I've seen a few but none of what is coming up."", ' I saw all of the movies recently that were released last summer, and I enjoyed them.', "" I've been waiting for the rain to fall on a long weekend recently."", "" I've been watching almost anything lately, except for Netflix."", "" I've been very bored of anything sci-fi except football."", ' I have not seen all of them, but I have beenhoarded at least one movie.', "" I've been watching all of them lately, plus I swiped down yesterday for today because I had a busy day tomorrow night."", "" I've seen a few but none of what big budget. The only ones I really like are Defender of the Ancients and Wonder Woman."", "" I've been binge watching Pretty Little Liars ever since it was a baby!"", ' I have not seen many movies lately, but have been wishing that day was overheat.', ' last summer i saw Saw. Bio: he is a white guy.', ' currently watching Watch Threes Now, that movie weekend is pretty far gone.', ' I have not seen all of them, but I have been wanting to see them.', ""<|startoftext|>what is the most recent movie you have seen? Right now I'm screening Citizen Kane, it's one of the few movies that I love. I also recently saw Tarzan, and I haven't seen anything since Stephenie Meyer was his girlfriend.<""]",what is the most recent movie you have seen?
"[' Not particularly, no one knows for sure.', ' Yes, currently Frozen is in theaters this weekend.', "" Not likely, it's kind of a tough call."", ' Not particularly, no movie.', ' Not particularly, no movie.', ' Not currently, not really into it.', ' Not particularly, no movie.', ' Not particularly, no movie.', ' Not currently, not the case.', ' Not right now.', ' Not really, not really a movie winner (though I do like the Sol formula).', "" Not currently; it's all about screenwriting. I enjoy rewriting plays and I watch documentaries on prehistoric people. "", "" Not currently a movie time so I'll have to see how the weather goes tonight."", ' Not particularly, no movie.', "" Not currently, it's too depressing actually."", ' Not currently, not the last movie I want to see..', ' Not right now, not bad.', "" Not right now but I'll watch whatever comes to my mind."", "" Not currently, it's too crowded for my tastes."", "" Not currently, it's hard to choose...it depends on what I'm watching.""]",Do you have a favorite movie?
"["" Well I don't have a favorite show on netflix, but I do like detective dramas."", ' I love the weirdly dressed teenagers in high school gangster movies.', ' I love the thrill of high school drama and Dreamgirls.', ' I love a show called ""Orange is the New Black"".', ' Um i love the rich and famous.', ' I love the huge majority of female fans of anime.', ' I love the great oldies like ""Seinfeld"" and the cool new stuff like ""Modern Family""', ' I love House of Cards and the Beach (Same here).', ' Um i love sci-fi and fantasy.', ' I love the fatale twins and the grouper twins.', ' I love the rich and diverse culture of tv.', ' Um i love the sci-fi/fantasy genre and anything that can be recast as sci-fi/fantasy.', ' I love the rich and tragic representations of the 20th and 21st centuries.', ' I love the thrill ride elements of the tv show Freaks and Geeks.', ' Um i like a lot of shows like that.', ' I love sci-fi and yore. binge watch anything thats fpl fun.', ' I love House of Cards and Alias.', ' I love Mindy Project, Pretty Little Liars, and Game of Thones.', ' I love House&butthole', ' Oh, I love House of Cards and Star Trek.']",What are some of your favorite shows on netflix?
"["" I love horror fiction and i usually watch both, but I don't have a lot of time this month."", ' I love science-fiction and fantasy.', "" I can't decide between movies and reading."", ' I love Pretty Little Liars and eating ramen.', ' I love action movies.', ' I love watching movies.', ' I do not currently have a television show to watch, but I will entertainively watch movies if given the chance.', ' I have not watched any TV shows since 2008.', "" Nothing this year, but I'll watch more House of Cards than I did growing up."", ' I guess.', ' I guess.', "" I don't currently have a pick up season on my shelf so I may line my bags for later."", ' I love sci-fi shows.', ' I love sci-fi and fantasy.', ' I have not watched any tv shows lately.', "" I don't usually watch movies, but if I did, I'd probably watch Pretty Little Liars or something."", ' NCIS, Modern Family.', "" I don't know."", "" I don't usually watch movies, but if I had to pick one show I want to watch, it's me."", ' I do not currently have a television show to watch.']",Watch any TV shows?
"["" I watched a little bit of House of Cards yesterday but didn't get to direct it until after school."", ' I got to see ""Twilight"" and have a look at more movies this month.', ' I am pretty certain not even close? Not really.', ' I liked Pretty Little Liars but not the rest of Europe.', "" I saw a little bit of House of Cards yesterday but didn't catch the runtime."", ' Not recently.', "" I'm not a huge fan of shows based on real-life Sweden."", ' I saw a little drama last night but nothing as of right now.', "" I haven't had much action this year, but I will be binge watching House of Cards if it's good."", "" I'm pretty certain not a movie."", "" Not recently, all of the recent stuff has kinda scared me off. I'll be honest though, I haven't had time to write in a long while."", ' Not recently.', "" Not really, I've been keeping up with the news."", '<|startoftext|>Have you seen any good movies or shows lately? I liked ""Lone Survivor"" and ""Beauty and the Beast"". But not today, as I have my appointments are set for the weekend.</|endoftext|>\n<|start', ' I have not seen any good movies or shows yet.', "" I'm interested in seeing more of the Gundam universe."", "" I've been keeping up with Netflix and my Netflix subscription keeps me going, The Revenant."", ' I watched Pretty Little Liars and the Bachelorette.', "" I haven't seen any movies recently, but I will be coming back soon."", ' I saw a bunch of them yesterday and liked none of them (though I loved the rest).']",Have you seen any good movies or shows lately?
"["" I enjoy Stranger Things, Family Guy, Modern Family, Modern Family,'* I watch all four."", ' I love NCIS and NCIS: New Hampshire.', "" I'm a Saturday morning news talker"", ' I watch: NCIS, Big Bang Theory, Modern Family, Modern Family Lineup, College Football Playoff, and NCIS:S referees match.', ' I love NCIS and NCIS: Los Angeles.', ' I watch: NCIS, Modern Family, and Law & Order: SVU.', ""<|startoftext|>What kinds of shows do you enjoy watching? I'm a sci-fi drama about a private eye and a private detective who work for the government. My job is to look into a mystery and then solve it, so I watch pretty damn closely"", "" I'm a mid-career comedian and audiobook musician."", "" I'm a daytime news talker and I also a college student."", ' I watch a lot of movies, as well as play music.', "" I'm a sci-fi drama with world-building by the side of business."", "" I'm a Monday to Friday student at a college."", "" I'm a combination drama and comedy."", "" I'm a Friday night/I do odd jobs and play video games all day| Watches movies and mostly anything interesting."", "" I'm a Monday to Friday Engineer at a medical facility, helping out with supplies and dealing with supplies at the door."", ' I love NCIS and NCIS: New Hampshire.', "" I'm a mystery man."", "" I'm a Monday to Friday type of show, usually chronologically."", ' I love detective dramas and comedies.', ' I love gangster movies and the occasional detective drama.']",What kinds of shows do you enjoy watching?
"["" I watch a lot of these, but I haven't had a chance to watch much until tonight."", ' I watch Pretty Little Liars, and NCIS: Los Angeles.', "" I watch all kinds of shows, but I haven't had a single time on Netflix."", ' I love the rich and dark humor of the English language.', ' I love sci-fi and fantasy, and i love blue japan.', ' I watch a lot of what I want to watch online and I also want to watch at home.', ' I watch a fair bit fantasy and science fiction.', ' I watch a lot of Netflix originals and comedies.', ' I watch the funny stuff, not so much fantasy fare.', ' I watch Pretty Little Liars by the waysam and NCIS and NCIS: New Orleans. I also like Mindy Project.', "" I watch a lot of what I want to watch online, but I don't currently have time to watch most of what I want to watch."", ' I watch a fair amount rock and roll, honestly.', ' I love sci-fi and fantasy and my SS really loved chan. ', '<|startoftext|>What shows do you enjoy on Netflix? I watch a lot of different shows, but I have to admit that I enjoy Lord of the Rings: The Return of the King a lot.[/endoftext|>|>|>|', "" I watch a lot of what I want to watch online, but I don't have time to process it very well."", ' I watch a lot of shows on Illusion and NCIS.', "" I watch everything, regardless of genre, from adult books to sci-fi to top-flight movies to music to sing to my heart's content."", ' I love the fantasy genre where people travel back in time creating new things and discovering new things.', ' I recently got Netflix customer service for customer service, and I enjoy Magic Mike.', ' I watch a lot of Netflix originals.']",What shows do you enjoy on Netflix?
"[' I used to be pretty deep into MMA, but this is a rough patch, so not much time or money for that.', '', ' I guess.', '', '', '', ' I used to be pretty deep into MMA, but this is a rough patch, so not much time or money for that.', '', ' I used to be pretty deep into MMA, but now I just kinda fade in and out.', "" I get the sense that I'm getting older."", '', ' I used to be hooked on thrillers.', ' I used to be pretty deep into MMA, but this is a rough patch, so not much time or money for that.', '', '', ' I love watching movies.', "" I used to be pretty deep into MMA, but it's pretty long since I've been through college/uspolitics."", ' I used to be scared of birds but now I love to watch movies.', '', '']",Do you like to watch <wild>?
"[' I Love Mindy Project.', ' I love Pretty Little Liars and Bojack Horseman.', ' I do not like fantastical shows.', ' I do not like sci-fi.', ' I Love Pretty Little Liars, and Chromeo.', "" I love Pretty Little Liars and they're on tBS."", ' I really enjoy Pretty Little Liars, but not Pretty Little Godot.', ' I LOVE UNDERCOVER', "" I really enjoy Pretty Little Liars, it's very different from most movies."", ' I will never watch a show by Vince Gilligan.', ' I Love the Christmas cheer.', ' I rock Elf for life and NCIS.', "" I'm not a big sports fan, but I do like sports."", ' I Love The Beach, and Count Basie.', ' I do not like comedy shows.', ' I Love the Beat and my whole family.', ' I Love The Hills, Game and the Boxtrolls.', ' I really loved the Cosby brothers comedy, which I will always remember.', ' I really enjoy Pretty Little Liars, as well.', ' I Love the cute little people.']",What is your favorite <wild> show?
"[' For survival-adventure games I like Skyrim and Skyrim Shadowgame. I play most any sort of role-player-player-like game.', "" I'm into exploration games, but I really enjoy side-quests like the caveman or slaying zombies."", "" I play multiple genres of games, from card games to MMO's, but I really enjoy creating my own paths through the game."", ' I usually play single player games or solo during the day, but I might play 3 or 4 others during the night during the day.', ' I like Mass Effect, Skyrim, League of Legends and League of Legends.', "" I like Settlers of Cat and Skyrim, although I haven't played any of those games myself. "", ' I play most of my electronic games at school though.', ' I recently started playing Symphony of the Holy Bible.', ""<|startoftext|>What kind of games do you play? Oh, I'm RPG & MMO, I play almost anything RPG & MMO, Mostly strategy & strategy games, However, I play as of late i have been playing Discovery & League of Legends, Both"", ' I probably play almost anything, but on occasion I want to do some sort of story about a large city.', ' I almost always have them turned off until later when I have more time with my family.', "" Oh, I'm RPG series"", ' I usually play 2-4 on vein of mass or MMOs, but since I have a PC I occasionally play on it, I play it.', ' I usually just play games on my cell phone and not worry too much about stats or my Reddit bio.', ""<|startoftext|>What kind of games do you play? I'm into exploration MMO's</|endoftext|>\n<|startoftext|>So do you play other games? I've only played Divinity: Original Sin, but I do"", "" I usually play video games or something but not MMO's, I like role-playing games like Myst and League of Legends."", ' I usually play 3-5 hours a day, but if I feel like it, I may do offline play types of games like Call of Duty and MMOs.', ' I play almost any kind of RPG.', "" Oh, I'm RPG fanfic seeker."", "" Well, I'm into Settlers of Cat or something.""]",What kind of games do you play?
"[' I play Magic: The Gathering and League of Extraordinary Gentlemen.', ' I play Magic: The Gathering and like playing random Magic: The Gathering cards.', ' I enjoy playing cards but not as much as I use to.', "" i play Magic: The Gathering, but not since I've played myself."", ' i play Magic: the Gathering, but I mostly play video games, not this blog.', "" I play Magic: The Gathering and like playing other games, but I don't play competitively."", ' I play Magic: The Gathering and League of Extra-Terrestrialers.', ' I play Magic: The Gathering and League of Extra-Life My siblings and I play Magic: The Gathering.', ' I play Magic: The Gathering, but not since I have been so absorbed in the game.', ' I play Magic: The Gathering and League of Extra-Life.', ' I do, actually.', ' I play Magic: The Gathering, and I also like Boarders, Settlers, Forums posts, Blog Posts.', ' I play Magic: The Gathering and League of Extra-Life I play Two-Face. I play Magic: The Gathering Revised and Comprehensive Rules updated Revised once again.', ' I play Magic: The Gathering and League of Extra-Life My siblings and I play Magic: the Gathering.', ' I play Magic: The Gathering and like playing games as well.', "" I play Magic: The Gathering, but I don't play competitively."", ' i play Magic: The Gathering, which is pretty cool, and I also recently started playing the SymphonyON app, which is pretty cool.', ' I play Magic: The Gathering and League of Extra-Life players.', "" I play Magic: The Gathering, but I don't play competitively."", "" I play Magic: The Gathering and like playing games, but I don't play competitively. I plan on retiring at the end of my college years.""]",do you enjoy card games?
"[' I do not play any games.', ' I do not play any games.', "" No, I don't play any games."", ' I do not play any games.', ' I do not play any games.', "" No, I don't have a lot of games but I enjoy playing other people's games."", "" No, I don't have a controller, I've heard games are good."", ' No, not really, I just play games.', ' I do not play any games but I enjoy playing new media.', ' I do not play any games.', ' I do not play any games.', "" No, I don't have a lot of games, I watch Netflix or some other outlet but I enjoy reading or hanging out with friends."", ' I do not play any games.', ' I do not play any games.', "" No, I don't play any games."", ' I do not play any games.', ' I do not play any games.', "" No, I don't play any games, but I'll say I enjoy reading or just sitting in the basement of hotels. I like watching movies."", "" No, I don't play any games."", "" No, I don't play video games but I enjoy playing them.""]",Do you play any video games?
"["" I don't actually have any video games, but I enjoy playing video games on my system."", "" No, I don't currently play any games on YouTube."", "" No, I don't actually play games on the netflix or something.. I watch Netflix or something."", ' I do not play games on my computer, nor on my smart phone.', "" Yeah, I'm a gamer."", "" I don't actually have any video games on my system, I've tried playing Grand Theft Auto V and nothing really good."", "" No, I don't have a controller at the moment, but I plan on eventually getting one. But seriously, I like video games better than most people."", "" No, not really sure what I'm doing."", "" Yeah, I've played EverQuest, World of Warcraft, and League of Legends, but not like this."", "" Yeah, I'm a gamer."", ' I do not play games, but I enjoy playing them.', ""<|startoftext|>Do you play any online video games? I don't currently; I uploaded a few hours ago of my playing games on a nice flat screen TV that I have lying around.</|endoftext|>\n<|startoftext|"", ' I do not play games online, but I do like playing them.', "" No, I don't currently."", "" I don't play video games, but I enjoy playing other people's creations."", "" I do not play games on my computer, but I have a hard time keeping up with what I'm seeing on the screen."", "" I don't actually have any video games, but I do like playing them."", ""<|startoftext|>Do you play any online video games? I don't actually have a clue what I'm playing on, honestly I don't enjoy playing games on so much. I also don't enjoy playing games on as many devices as I can manage.<"", ' I do not play video games, but I do like to grab snacks or play games on my cell phone.', "" I don't actually have any video games on my system, although I have played some on my PC.""]",Do you play any online video games?
